image_id,coco_image_id,source,path,width,height,bbox_count,boxes
864bdf6a-a1e7-4490-8c12-598141c3d2ad,3044,usask_1,data/raw/gwhd2020\usask_1\864bdf6a-a1e7-4490-8c12-598141c3d2ad.png,1024,1024,20,"[[500, 156, 177, 299], [301, 785, 247, 168], [414, 175, 126, 118], [476, 984, 183, 40], [0, 976, 127, 48], [88, 820, 223, 199], [396, 490, 137, 110], [983, 175, 41, 109], [0, 867, 234, 156], [294, 690, 137, 76], [170, 256, 248, 197], [940, 366, 84, 114], [0, 348, 253, 141], [0, 208, 306, 265], [0, 0, 225, 97], [140, 468, 277, 109], [631, 846, 149, 143], [272, 687, 199, 63], [705, 615, 94, 65], [516, 929, 155, 79]]"
c038ae68-0ce2-4e2a-a9ff-b840b349a787,2217,ethz_1,data/raw/gwhd2020\ethz_1\c038ae68-0ce2-4e2a-a9ff-b840b349a787.png,1024,1024,56,"[[507, 208, 97, 42], [694, 48, 57, 88], [938, 875, 63, 46], [450, 859, 90, 55], [19, 0, 57, 69], [0, 643, 158, 41], [575, 288, 139, 166], [388, 944, 213, 80], [913, 738, 90, 59], [31, 410, 80, 103], [0, 700, 144, 110], [522, 325, 60, 39], [0, 112, 61, 98], [51, 179, 113, 43], [515, 425, 47, 57], [352, 1, 47, 47], [977, 617, 38, 67], [635, 681, 52, 86], [0, 502, 57, 67], [365, 174, 67, 69], [122, 300, 115, 65], [867, 796, 52, 123], [803, 1, 104, 60], [757, 28, 30, 50], [140, 313, 76, 128], [694, 143, 152, 45], [471, 226, 79, 215], [68, 274, 49, 79], [342, 415, 79, 133], [754, 0, 33, 39], [151, 595, 64, 65], [458, 691, 182, 64], [787, 666, 39, 57], [226, 309, 46, 116], [577, 29, 41, 86], [203, 588, 173, 68], [72, 410, 44, 40], [450, 314, 60, 146], [275, 899, 97, 99], [181, 450, 127, 121], [806, 844, 56, 56], [768, 805, 69, 36], [514, 467, 96, 97], [196, 331, 128, 62], [621, 979, 30, 44], [37, 559, 170, 51], [650, 907, 52, 67], [413, 534, 60, 58], [626, 46, 81, 78], [548, 216, 73, 72], [55, 595, 49, 23], [707, 750, 59, 93], [978, 798, 46, 185], [239, 129, 90, 72], [768, 154, 170, 84], [712, 674, 90, 56]]"
0e406a10-5d81-422d-8a45-71736a5060f9,2643,rres_1,data/raw/gwhd2020\rres_1\0e406a10-5d81-422d-8a45-71736a5060f9.png,1024,1024,32,"[[813, 885, 77, 110], [571, 403, 108, 73], [962, 110, 62, 150], [772, 516, 77, 84], [875, 253, 96, 79], [637, 668, 85, 105], [174, 182, 185, 214], [600, 9, 86, 106], [945, 425, 79, 83], [863, 279, 97, 136], [760, 392, 53, 60], [528, 860, 82, 164], [515, 172, 216, 84], [649, 844, 91, 171], [121, 114, 178, 103], [0, 89, 42, 109], [117, 691, 171, 125], [802, 221, 76, 175], [791, 486, 82, 72], [310, 87, 78, 79], [904, 949, 65, 70], [561, 277, 85, 104], [133, 2, 108, 96], [954, 573, 68, 268], [779, 21, 152, 144], [677, 466, 92, 152], [54, 150, 83, 101], [769, 939, 85, 85], [318, 442, 106, 98], [919, 81, 62, 136], [822, 423, 86, 68], [683, 346, 100, 125]]"
2561e37a-7e93-4bfc-b685-5179fcb22fd1,1532,rres_1,data/raw/gwhd2020\rres_1\2561e37a-7e93-4bfc-b685-5179fcb22fd1.png,1024,1024,42,"[[310, 657, 54, 65], [981, 726, 43, 66], [361, 196, 97, 61], [631, 947, 68, 77], [338, 836, 69, 57], [943, 369, 63, 42], [552, 626, 77, 78], [679, 12, 73, 99], [815, 614, 61, 74], [763, 288, 39, 44], [274, 127, 65, 92], [351, 690, 71, 55], [519, 382, 93, 92], [896, 636, 76, 77], [294, 777, 87, 59], [189, 785, 58, 78], [174, 679, 94, 73], [2, 622, 46, 57], [13, 667, 48, 64], [847, 490, 86, 54], [227, 420, 50, 62], [556, 515, 87, 89], [603, 556, 76, 75], [661, 738, 77, 62], [259, 843, 82, 71], [750, 357, 104, 78], [844, 579, 54, 51], [884, 306, 126, 73], [613, 823, 108, 62], [706, 176, 79, 94], [351, 905, 77, 69], [679, 640, 84, 87], [515, 241, 100, 66], [66, 199, 72, 80], [0, 154, 73, 96], [362, 561, 82, 92], [959, 457, 64, 67], [922, 190, 102, 68], [619, 911, 81, 59], [45, 951, 71, 73], [744, 3, 91, 92], [499, 3, 105, 97]]"
b41638ba-a8dc-4fd8-8d40-bbe6d82685c7,1623,arvalis_2,data/raw/gwhd2020\arvalis_2\b41638ba-a8dc-4fd8-8d40-bbe6d82685c7.png,1024,1024,9,"[[639, 939, 69, 83], [131, 133, 83, 91], [589, 3, 75, 77], [733, 330, 64, 96], [832, 408, 68, 40], [696, 557, 47, 92], [424, 842, 84, 61], [606, 782, 55, 47], [698, 830, 56, 59]]"
e9cdc55a-84cb-4259-a2c3-6ea938e23ebe,2092,ethz_1,data/raw/gwhd2020\ethz_1\e9cdc55a-84cb-4259-a2c3-6ea938e23ebe.png,1024,1024,70,"[[976, 716, 48, 59], [666, 387, 83, 88], [562, 778, 93, 37], [531, 247, 65, 69], [434, 326, 67, 60], [176, 595, 65, 60], [43, 621, 103, 52], [78, 679, 111, 65], [513, 689, 113, 52], [877, 993, 111, 31], [850, 238, 104, 86], [200, 651, 101, 37], [832, 584, 75, 59], [750, 882, 101, 40], [894, 154, 84, 74], [412, 659, 131, 81], [567, 151, 50, 29], [278, 5, 183, 63], [501, 951, 69, 51], [679, 111, 71, 46], [646, 443, 57, 44], [790, 670, 68, 33], [245, 617, 70, 57], [536, 337, 90, 48], [752, 719, 98, 36], [759, 0, 43, 96], [760, 278, 97, 92], [898, 697, 60, 56], [371, 222, 109, 98], [178, 2, 90, 112], [528, 359, 76, 43], [415, 545, 115, 64], [0, 441, 49, 34], [570, 810, 108, 34], [0, 787, 39, 28], [107, 348, 92, 41], [836, 909, 77, 93], [8, 240, 73, 89], [963, 440, 61, 39], [207, 283, 85, 67], [943, 292, 72, 62], [688, 461, 108, 47], [963, 774, 61, 24], [0, 622, 100, 74], [215, 326, 99, 91], [524, 1004, 58, 18], [722, 392, 75, 64], [346, 792, 116, 42], [811, 749, 72, 44], [957, 75, 67, 68], [877, 921, 91, 34], [206, 736, 131, 55], [742, 417, 100, 53], [9, 729, 78, 58], [410, 109, 89, 54], [554, 598, 70, 63], [828, 651, 66, 30], [615, 531, 82, 44], [507, 780, 80, 68], [529, 841, 53, 24], [937, 438, 87, 86], [294, 999, 81, 25], [304, 372, 100, 71], [394, 757, 92, 44], [451, 5, 73, 51], [456, 308, 60, 48], [664, 678, 84, 30], [667, 614, 73, 48], [621, 23, 114, 78], [683, 977, 67, 33]]"
3dc8f9ed-6798-40c9-b011-b6ae114bde6e,2280,ethz_1,data/raw/gwhd2020\ethz_1\3dc8f9ed-6798-40c9-b011-b6ae114bde6e.png,1024,1024,66,"[[954, 0, 39, 57], [565, 124, 68, 57], [377, 657, 82, 71], [144, 319, 70, 72], [572, 791, 61, 35], [763, 717, 50, 43], [243, 750, 76, 77], [197, 0, 61, 58], [707, 383, 65, 79], [3, 843, 92, 47], [241, 16, 101, 78], [499, 0, 48, 39], [659, 0, 84, 37], [981, 0, 43, 69], [795, 344, 61, 110], [0, 679, 45, 50], [207, 303, 76, 94], [731, 658, 62, 53], [406, 65, 65, 87], [664, 710, 80, 62], [268, 331, 86, 51], [387, 380, 56, 74], [454, 775, 83, 49], [887, 53, 79, 104], [806, 456, 63, 80], [636, 776, 57, 58], [94, 573, 83, 67], [849, 677, 83, 84], [813, 604, 89, 88], [318, 178, 88, 58], [401, 297, 57, 105], [774, 125, 42, 53], [648, 36, 96, 106], [94, 349, 69, 66], [633, 187, 71, 73], [211, 783, 67, 52], [439, 17, 60, 88], [512, 848, 66, 42], [62, 765, 95, 86], [111, 633, 88, 51], [892, 0, 67, 75], [525, 509, 55, 60], [977, 341, 47, 75], [525, 263, 73, 74], [271, 879, 62, 39], [93, 662, 94, 44], [2, 233, 90, 98], [5, 988, 76, 36], [9, 338, 86, 83], [719, 331, 45, 69], [613, 713, 61, 47], [365, 177, 105, 68], [927, 431, 58, 71], [9, 311, 81, 59], [311, 531, 56, 39], [479, 398, 71, 83], [660, 531, 69, 71], [228, 232, 73, 83], [939, 636, 69, 80], [264, 615, 98, 91], [540, 831, 63, 46], [629, 267, 85, 65], [811, 116, 64, 49], [0, 739, 72, 58], [976, 215, 48, 103], [677, 446, 49, 53]]"
6d138a32-032f-4158-a435-8850379ed2f2,2237,ethz_1,data/raw/gwhd2020\ethz_1\6d138a32-032f-4158-a435-8850379ed2f2.png,1024,1024,74,"[[658, 208, 75, 69], [490, 611, 78, 43], [694, 711, 56, 99], [378, 570, 52, 53], [371, 833, 62, 39], [759, 147, 73, 119], [334, 529, 81, 51], [477, 230, 71, 90], [768, 66, 89, 77], [988, 267, 36, 48], [696, 139, 79, 72], [398, 957, 59, 47], [997, 813, 27, 45], [152, 607, 66, 30], [283, 461, 66, 49], [566, 1, 73, 23], [887, 869, 102, 65], [599, 544, 41, 82], [34, 256, 50, 64], [0, 856, 98, 43], [248, 940, 68, 25], [813, 540, 128, 87], [428, 908, 58, 39], [629, 287, 65, 47], [498, 323, 88, 52], [259, 281, 42, 35], [416, 267, 71, 35], [243, 117, 129, 75], [578, 435, 81, 74], [34, 321, 73, 47], [211, 632, 57, 44], [901, 575, 84, 55], [0, 174, 58, 55], [838, 835, 35, 60], [975, 478, 49, 58], [16, 217, 83, 58], [365, 876, 118, 44], [544, 15, 42, 46], [53, 763, 75, 67], [4, 900, 107, 37], [774, 0, 61, 47], [237, 948, 86, 30], [711, 513, 80, 79], [395, 9, 73, 51], [132, 214, 73, 50], [188, 113, 96, 78], [469, 630, 79, 42], [286, 635, 105, 46], [880, 634, 75, 36], [758, 848, 84, 42], [434, 229, 54, 48], [17, 70, 101, 100], [569, 29, 78, 29], [902, 15, 52, 71], [652, 618, 63, 39], [17, 940, 82, 33], [196, 902, 101, 30], [50, 515, 82, 54], [106, 516, 101, 59], [126, 302, 86, 40], [718, 445, 73, 49], [617, 441, 64, 76], [140, 806, 88, 38], [851, 294, 73, 52], [476, 167, 74, 98], [410, 965, 77, 34], [189, 910, 48, 27], [663, 460, 77, 53], [187, 281, 65, 48], [730, 255, 103, 46], [333, 39, 47, 31], [483, 565, 96, 50], [489, 894, 110, 41], [988, 212, 36, 66]]"
26f7f76d-d0ed-4e98-8fcd-efae9a006ab9,1698,arvalis_3,data/raw/gwhd2020\arvalis_3\26f7f76d-d0ed-4e98-8fcd-efae9a006ab9.png,1024,1024,50,"[[201, 469, 54, 56], [900, 139, 55, 75], [759, 902, 91, 76], [894, 725, 64, 84], [449, 491, 56, 47], [12, 537, 68, 40], [942, 353, 78, 43], [98, 409, 53, 61], [601, 15, 71, 88], [266, 77, 73, 114], [330, 987, 76, 36], [407, 191, 76, 57], [325, 325, 89, 108], [310, 713, 76, 90], [245, 5, 39, 50], [293, 828, 61, 54], [698, 418, 93, 69], [550, 852, 59, 57], [867, 626, 65, 49], [427, 572, 77, 103], [101, 35, 80, 45], [534, 49, 67, 89], [102, 212, 98, 109], [307, 38, 69, 64], [929, 298, 74, 70], [0, 132, 102, 78], [405, 920, 55, 73], [96, 0, 97, 40], [916, 893, 46, 76], [406, 827, 58, 49], [501, 253, 67, 85], [196, 399, 78, 58], [987, 463, 37, 59], [642, 713, 51, 43], [374, 389, 75, 88], [202, 249, 73, 62], [172, 706, 68, 66], [468, 559, 65, 56], [169, 188, 62, 52], [486, 252, 45, 74], [130, 484, 74, 52], [449, 673, 57, 85], [627, 497, 75, 51], [370, 295, 63, 63], [225, 767, 63, 52], [235, 137, 51, 68], [830, 721, 48, 59], [0, 560, 98, 64], [841, 656, 63, 67], [120, 798, 87, 51]]"
4f784d65-2a82-4c06-bb7d-0c8a3b647a4d,3755,arvalis_1,data/raw/gwhd2020\arvalis_1\4f784d65-2a82-4c06-bb7d-0c8a3b647a4d.png,1024,1024,23,"[[760, 436, 146, 105], [911, 600, 72, 96], [416, 130, 132, 159], [303, 81, 71, 65], [782, 963, 92, 61], [562, 442, 130, 90], [6, 653, 140, 108], [477, 506, 73, 85], [693, 845, 68, 117], [480, 326, 101, 89], [561, 188, 132, 101], [867, 828, 103, 97], [57, 313, 157, 128], [407, 651, 91, 103], [356, 0, 108, 49], [385, 400, 95, 76], [592, 968, 119, 56], [439, 281, 73, 81], [970, 158, 53, 121], [151, 243, 82, 70], [708, 522, 84, 106], [103, 712, 91, 73], [200, 840, 95, 110]]"
